0,1,2,3
U,U,2R,2U
U,U,2R,2F
U,U,2R,2R
U,U,2R,2L
U,U,2R,2B
U,U,2R,2D
U,U,2R,2U'
U,U,2R,2F'
U,U,2R,2R'
U,U,2R,2L'
U,U,2R,2B'
U,U,2R,2D'
U,U,2L,U
U,U,2L,F
U,U,2L,R
U,U,2L,L
U,U,2L,B
U,U,2L,D
U,U,2L,U'
U,U,2L,F'
U,U,2L,R'
U,U,2L,L'
U,U,2L,B'
U,U,2L,D'
U,U,2L,2U
U,U,2L,2F
U,U,2L,2R
U,U,2L,2L
U,U,2L,2B
U,U,2L,2D
U,U,2L,2U'
U,U,2L,2F'
U,U,2L,2R'
U,U,2L,2L'
U,U,2L,2B'
U,U,2L,2D'
U,U,2B,U
U,U,2B,F
U,U,2B,R
U,U,2B,L
U,U,2B,B
U,U,2B,D
U,U,2B,U'
U,U,2B,F'
U,U,2B,R'
U,U,2B,L'
U,U,2B,B'
U,U,2B,D'
U,U,2B,2U
U,U,2B,2F
U,U,2B,2R
U,U,2B,2L
U,U,2B,2B
U,U,2B,2D
U,U,2B,2U'
U,U,2B,2F'
U,U,2B,2R'
U,U,2B,2L'
U,U,2B,2B'
U,U,2B,2D'
U,U,2D,U
U,U,2D,F
U,U,2D,R
U,U,2D,L
U,U,2D,B
U,U,2D,D
U,U,2D,U'
U,U,2D,F'
U,U,2D,R'
U,U,2D,L'
U,U,2D,B'
U,U,2D,D'
U,U,2D,2U
U,U,2D,2F
U,U,2D,2R
U,U,2D,2L
U,U,2D,2B
U,U,2D,2D
U,U,2D,2U'
U,U,2D,2F'
U,U,2D,2R'
U,U,2D,2L'
U,U,2D,2B'
U,U,2D,2D'
U,U,2U',U
U,U,2U',F
U,U,2U',R
U,U,2U',L
U,U,2U',B
U,U,2U',D
U,U,2U',U'
U,U,2U',F'
U,U,2U',R'
U,U,2U',L'
U,U,2U',B'
U,U,2U',D'
U,U,2U',2U
U,U,2U',2F
U,U,2U',2R
U,U,2U',2L
U,U,2U',2B
U,U,2U',2D
U,U,2U',2U'
U,U,2U',2F'
U,U,2U',2R'
U,U,2U',2L'
U,U,2U',2B'
U,U,2U',2D'
U,U,2F',U
U,U,2F',F
U,U,2F',R
U,U,2F',L
U,U,2F',B
U,U,2F',D
U,U,2F',U'
U,U,2F',F'
U,U,2F',R'
U,U,2F',L'
U,U,2F',B'
U,U,2F',D'
U,U,2F',2U
U,U,2F',2F
U,U,2F',2R
U,U,2F',2L
U,U,2F',2B
U,U,2F',2D
U,U,2F',2U'
U,U,2F',2F'
U,U,2F',2R'
U,U,2F',2L'
U,U,2F',2B'
U,U,2F',2D'
U,U,2R',U
U,U,2R',F
U,U,2R',R
U,U,2R',L
U,U,2R',B
U,U,2R',D
U,U,2R',U'
U,U,2R',F'
U,U,2R',R'
U,U,2R',L'
U,U,2R',B'
U,U,2R',D'
U,U,2R',2U
U,U,2R',2F
U,U,2R',2R
U,U,2R',2L
U,U,2R',2B
U,U,2R',2D
U,U,2R',2U'
U,U,2R',2F'
U,U,2R',2R'
U,U,2R',2L'
U,U,2R',2B'
U,U,2R',2D'
U,U,2L',U
U,U,2L',F
U,U,2L',R
U,U,2L',L
U,U,2L',B
U,U,2L',D
U,U,2L',U'
U,U,2L',F'
U,U,2L',R'
U,U,2L',L'
U,U,2L',B'
U,U,2L',D'
U,U,2L',2U
U,U,2L',2F
U,U,2L',2R
U,U,2L',2L
U,U,2L',2B
U,U,2L',2D
U,U,2L',2U'
U,U,2L',2F'
U,U,2L',2R'
U,U,2L',2L'
U,U,2L',2B'
U,U,2L',2D'
U,U,2B',U
U,U,2B',F
U,U,2B',R
U,U,2B',L
U,U,2B',B
U,U,2B',D
U,U,2B',U'
U,U,2B',F'
U,U,2B',R'
U,U,2B',L'
U,U,2B',B'
U,U,2B',D'
U,U,2B',2U
U,U,2B',2F
U,U,2B',2R
U,U,2B',2L
U,U,2B',2B
U,U,2B',2D
U,U,2B',2U'
U,U,2B',2F'
U,U,2B',2R'
U,U,2B',2L'
U,U,2B',2B'
U,U,2B',2D'
U,U,2D',U
U,U,2D',F
U,U,2D',R
U,U,2D',L
U,U,2D',B
U,U,2D',D
U,U,2D',U'
U,U,2D',F'
U,U,2D',R'
U,U,2D',L'
U,U,2D',B'
U,U,2D',D'
U,U,2D',2U
U,U,2D',2F
U,U,2D',2R
U,U,2D',2L
U,U,2D',2B
U,U,2D',2D
U,U,2D',2U'
U,U,2D',2F'
U,U,2D',2R'
U,U,2D',2L'
U,U,2D',2B'
U,U,2D',2D'
U,F,U,U
U,F,U,F
U,F,U,R
U,F,U,L
U,F,U,B
U,F,U,D
U,F,U,U'
U,F,U,F'
U,F,U,R'
U,F,U,L'
U,F,U,B'
U,F,U,D'
U,F,U,2U
U,F,U,2F
U,F,U,2R
U,F,U,2L
U,F,U,2B
U,F,U,2D
U,F,U,2U'
U,F,U,2F'
U,F,U,2R'
U,F,U,2L'
U,F,U,2B'
U,F,U,2D'
U,F,F,U
U,F,F,F
U,F,F,R
U,F,F,L
U,F,F,B
U,F,F,D
U,F,F,U'
U,F,F,F'
U,F,F,R'
U,F,F,L'
U,F,F,B'
U,F,F,D'
U,F,F,2U
U,F,F,2F
U,F,F,2R
U,F,F,2L
U,F,F,2B
U,F,F,2D
U,F,F,2U'
U,F,F,2F'
U,F,F,2R'
U,F,F,2L'
U,F,F,2B'
U,F,F,2D'
U,F,R,U
U,F,R,F
U,F,R,R
U,F,R,L
U,F,R,B
U,F,R,D
U,F,R,U'
U,F,R,F'
U,F,R,R'
U,F,R,L'
U,F,R,B'
U,F,R,D'
U,F,R,2U
U,F,R,2F
U,F,R,2R
U,F,R,2L
U,F,R,2B
U,F,R,2D
U,F,R,2U'
U,F,R,2F'
U,F,R,2R'
U,F,R,2L'
U,F,R,2B'
U,F,R,2D'
U,F,L,U
U,F,L,F
U,F,L,R
U,F,L,L
U,F,L,B
U,F,L,D
U,F,L,U'
U,F,L,F'
U,F,L,R'
U,F,L,L'
U,F,L,B'
U,F,L,D'
U,F,L,2U
